,日,平均気圧,海面気圧,降水量,最大１,最大10,平均気温,最高気温,最低気温,平均湿度,最小湿度,平均風速,最大風速,風向1,最大瞬間風速,風向２,日照時間,雪,値,昼,夜,月,年
119,30,1006.3,1010.5,10.5,3.5,2.5,18.2,20.7,15.9,79,56,3.5,7.6,南,12.9,南,2.6,--,--,曇時々雨,降水なし,4,1981
120,1,1011.1,1015.3,--,--,--,20.0,27.0,13.8,58,32,3.1,7.6,北西,11.9,北西,12.6,--,--,晴,降水なし,5,1981
121,2,1013.5,1017.7,--,--,--,19.6,23.7,15.7,71,49,3.2,7.1,南,11.6,南,4.9,--,--,曇,降水なし,5,1981
122,3,1007.0,1011.2,0.0,3.0,1.0,19.8,24.8,14.6,75,52,3.6,8.3,南,13.6,南,7.4,--,--,晴,雨,5,1981
123,4,1009.1,1013.4,10.0,6.0,1.5,13.3,15.0,11.6,81,69,3.5,9.5,北北西,15.0,北,--,--,--,曇時々雨,降水なし,5,1981
124,5,1017.2,1021.5,--,--,--,16.4,20.6,10.5,53,17,2.9,6.7,南,10.4,南,12.3,--,--,晴,降水なし,5,1981
125,6,1018.2,1022.4,0.0,0.0,0.0,18.0,20.5,15.7,56,37,3.3,6.8,南南東,9.5,南南東,--,--,--,曇,時々雨,5,1981
126,7,1007.8,1012.0,40.5,9.0,3.0,14.5,16.1,13.6,89,66,4.3,9.8,北西,19.6,北北西,--,--,--,雨,時々雨,5,1981
127,8,1004.7,1008.8,--,--,--,18.6,25.9,12.6,59,26,3.9,8.8,北北西,14.2,北北西,12.4,--,--,晴,降水なし,5,1981
128,9,1006.4,1010.7,--,--,--,18.0,22.1,11.8,71,56,1.8,4.2,北,5.8,北北西,9.2,--,--,晴,降水なし,5,1981
129,10,1006.9,1011.1,0.0,0.0,0.0,18.3,21.2,15.2,64,45,2.5,7.1,北,10.6,北,0.9,--,--,曇時々雨,降水なし,5,1981
130,11,1006.0,1010.3,1.5,1.5,1.5,15.4,18.8,12.8,70,55,2.4,4.8,東北東,7.5,東北東,--,--,--,曇,時々雨,5,1981
131,12,998.4,1002.6,12.5,3.0,1.0,16.1,20.9,12.3,90,82,3.3,7.3,南南西,18.6,南南西,--,--,--,雨,雨,5,1981
132,13,1002.6,1006.8,0.5,0.5,0.5,16.4,20.3,13.8,67,49,2.9,5.5,南,9.6,南東,6.5,--,--,曇,時々雨,5,1981
133,14,1007.2,1011.4,0.5,0.5,0.5,18.6,23.5,13.5,56,20,3.4,6.3,南,9.7,南南西,8.0,--,--,晴,降水なし,5,1981
134,15,1005.8,1010.0,0.0,0.0,0.0,19.8,23.8,16.1,59,42,2.5,5.1,南,8.3,南,6.7,--,--,曇,一時雨,5,1981
135,16,1007.6,1011.9,--,--,--,15.4,18.7,12.5,59,45,4.0,6.7,東北東,10.8,北東,6.6,--,--,曇,一時雨,5,1981
136,17,1005.6,1010.0,60.0,21.5,5.5,11.6,13.3,10.4,87,67,5.6,7.9,北西,14.9,北西,--,--,--,雨,大雨,5,1981
137,18,997.6,1001.8,9.0,11.5,2.5,16.8,21.7,10.2,70,51,3.5,9.1,北北西,16.9,北西,10.4,--,--,晴,降水なし,5,1981
138,19,1004.3,1008.6,0.0,0.0,0.0,14.9,16.2,13.6,66,57,3.0,4.7,北,7.4,北,1.2,--,--,曇,降水なし,5,1981
139,20,1009.6,1013.9,0.0,0.0,0.0,13.7,15.1,11.9,68,54,2.6,5.1,北北東,7.0,北,--,--,--,曇,降水なし,5,1981
140,21,1010.2,1014.5,--,--,--,16.8,20.6,10.9,63,40,2.4,6.1,南,8.7,南,11.3,--,--,晴,降水なし,5,1981
141,22,1006.7,1010.8,--,--,--,19.5,24.5,13.7,56,31,2.4,5.8,南南東,8.6,南,9.9,--,--,晴,降水なし,5,1981
142,23,1004.8,1008.9,--,--,--,22.6,28.4,15.4,48,22,2.7,6.9,南,9.9,南,12.1,--,--,晴,降水なし,5,1981
143,24,1003.5,1007.7,15.5,4.0,1.5,15.1,20.2,13.4,82,68,3.4,6.4,北,10.0,北,--,--,--,曇時々雨,時々雨,5,1981
144,25,997.4,1001.5,1.0,0.5,0.5,20.3,25.7,14.4,63,21,3.5,7.5,北北西,11.7,北北西,6.8,--,--,曇時々雨,降水なし,5,1981
145,26,1004.9,1009.0,--,--,--,21.7,26.2,16.1,42,19,3.3,7.8,北北西,13.5,北北西,11.3,--,--,晴,降水なし,5,1981
146,27,1011.2,1015.5,0.0,0.0,0.0,19.2,23.9,16.3,49,28,3.6,6.2,東北東,11.0,南東,11.5,--,--,晴,時々雨,5,1981
147,28,1004.1,1008.3,0.5,0.5,0.5,17.4,21.2,15.3,73,49,2.8,5.3,南,10.4,南,--,--,--,曇一時雨,時々雨,5,1981
148,29,989.4,993.5,0.0,0.0,0.0,20.7,25.9,15.4,62,37,3.8,12.6,北北西,20.9,北北西,8.7,--,--,晴,降水なし,5,1981
149,30,1002.9,1007.1,--,--,--,17.7,20.4,14.9,32,24,7.4,14.5,北北西,21.7,北北西,11.9,--,--,晴,降水なし,5,1981
150,31,1011.0,1015.2,0.0,0.0,0.0,15.3,18.2,11.9,55,38,2.8,5.0,北北西,8.1,北,--,--,--,曇,時々雨,5,1981
151,1,1005.6,1009.8,0.0,0.0,0.0,17.2,21.2,14.6,68,59,2.3,6.3,北北西,10.8,北北西,0.7,--,--,曇時々雨,一時雨,6,1981
152,2,1005.5,1009.7,0.0,0.0,0.0,19.0,23.7,14.7,57,22,3.5,8.7,北北西,13.3,北北西,7.9,--,--,晴,降水なし,6,1981
153,3,1008.5,1012.7,0.0,0.0,0.0,19.3,24.4,14.4,50,30,3.1,7.1,南,12.7,南,10.3,--,--,晴,降水なし,6,1981
154,4,1009.7,1013.9,0.0,0.0,0.0,19.8,22.4,16.4,70,54,2.8,6.5,南南東,10.3,南南東,1.2,--,--,曇,時々雨,6,1981
155,5,1007.2,1011.4,0.5,0.5,0.5,19.8,23.4,16.7,70,51,3.1,6.7,南東,9.6,南東,8.1,--,--,晴,一時雨,6,1981
156,6,1009.8,1014.0,12.0,12.0,5.5,19.9,24.5,16.6,73,48,2.4,5.5,南南東,8.3,北,3.8,--,--,曇,降水なし,6,1981
157,7,1013.1,1017.2,0.0,0.0,0.0,21.0,24.9,16.9,75,53,3.0,6.5,南南東,10.6,南,5.5,--,--,曇,降水なし,6,1981
158,8,1014.0,1018.1,--,--,--,22.5,25.7,20.1,69,53,3.6,7.0,南,10.3,南南西,5.6,--,--,曇,降水なし,6,1981
159,9,1012.5,1016.6,--,--,--,22.4,25.4,20.1,70,57,3.2,6.2,南南東,9.7,南南東,6.2,--,--,曇,降水なし,6,1981
160,10,1010.5,1014.7,--,--,--,22.7,25.3,20.7,69,50,2.5,4.6,南南東,7.7,南南西,1.5,--,--,曇,降水なし,6,1981
161,11,1006.3,1010.5,1.5,0.5,0.5,20.7,23.5,19.0,78,64,2.6,4.2,北東,6.5,東北東,--,--,--,曇,雨,6,1981
162,12,1000.8,1004.9,10.5,4.5,2.0,20.6,21.8,19.0,88,82,1.9,3.5,北北西,6.6,北北西,--,--,--,曇時々雨,一時雨,6,1981
163,13,1003.1,1007.2,15.5,3.0,1.0,19.6,21.8,17.4,90,87,2.1,3.8,北東,6.3,南,--,--,--,雨,雨,6,1981
164,14,1003.3,1007.4,26.5,6.0,2.0,19.6,21.7,17.3,91,83,1.8,4.6,南,7.9,南,--,--,--,雨,降水なし,6,1981
165,15,1003.5,1007.6,20.5,14.0,6.0,20.1,22.4,18.0,90,79,1.9,5.8,北,8.9,北,--,--,--,曇時々雨,一時雨,6,1981
166,16,1006.3,1010.5,0.0,0.0,0.0,22.0,25.9,18.4,78,57,2.3,5.9,南南東,8.4,南南東,6.6,--,--,曇,降水なし,6,1981
167,17,1006.1,1010.2,--,--,--,23.3,26.9,19.1,77,61,3.1,7.2,南,11.2,南,8.1,--,--,晴,降水なし,6,1981
168,18,1001.9,1006.0,0.0,0.0,0.0,22.5,26.5,16.6,77,61,2.6,8.2,東北東,13.4,東北東,1.8,--,--,曇時々雨,降水なし,6,1981
